,WM2NS,BAMLC0A4CBBBEY,FEDFUNDS,MCOILWTICO
1985-01-01,2353.0,,8.35,
1985-02-01,2338.5,,8.5,
1985-03-01,2354.5,,8.58,
1985-04-01,2368.1,,8.27,
1985-05-01,2371.6,,7.97,
1985-06-01,2393.6,,7.53,
1985-07-01,2421.1,,7.88,
1985-08-01,2443.2,,7.9,
1985-09-01,2441.3,,7.92,
1985-10-01,2472.9,,7.99,
1985-11-01,2474.1,,8.05,
1985-12-01,2491.3,,8.27,
1986-01-01,2536.0,,8.14,22.93
1986-02-01,2494.4,,7.86,15.46
1986-03-01,2507.9,,7.48,12.61
1986-04-01,2570.7,,6.99,12.84
1986-05-01,2564.4,,6.85,15.38
1986-06-01,2584.4,,6.92,13.43
1986-07-01,2639.8,,6.56,11.59
1986-08-01,2641.5,,6.17,15.1
1986-09-01,2644.5,,5.89,14.87
1986-10-01,2686.7,,5.85,14.9
1986-11-01,2690.1,,6.04,15.22
1986-12-01,2716.6,,6.91,16.11
1987-01-01,2794.4,,6.43,18.65
1987-02-01,2727.9,,6.1,17.75
1987-03-01,2733.7,,6.13,18.3
1987-04-01,2781.4,,6.37,18.68
1987-05-01,2761.7,,6.85,19.44
1987-06-01,2765.5,,6.73,20.07
1987-07-01,2800.8,,6.58,21.34
1987-08-01,2781.4,,6.73,20.31
1987-09-01,2801.9,,7.22,19.53
1987-10-01,2811.1,,7.29,19.86
1987-11-01,2810.7,,6.69,18.85
1987-12-01,2839.3,,6.77,17.28
1988-01-01,2864.7,,6.83,17.13
1988-02-01,2844.6,,6.58,16.8
1988-03-01,2883.7,,6.58,16.2
1988-04-01,2920.7,,6.87,17.86
1988-05-01,2903.6,,7.09,17.42
1988-06-01,2942.9,,7.51,16.53
1988-07-01,2953.0,,7.75,15.5
1988-08-01,2944.5,,8.01,15.52
1988-09-01,2957.6,,8.19,14.54
1988-10-01,2951.0,,8.3,13.77
1988-11-01,2983.5,,8.35,14.14
1988-12-01,2998.3,,8.76,16.38
1989-01-01,3016.1,,9.12,18.02
1989-02-01,2988.2,,9.36,17.94
1989-03-01,3003.0,,9.85,19.48
1989-04-01,3013.9,,9.84,21.07
1989-05-01,2998.8,,9.81,20.12
1989-06-01,3023.5,,9.53,20.05
1989-07-01,3039.5,,9.24,19.78
1989-08-01,3075.6,,8.99,18.58
1989-09-01,3081.2,,9.02,19.59
1989-10-01,3089.2,,8.84,20.1
1989-11-01,3133.3,,8.55,19.86
1989-12-01,3152.4,,8.45,21.1
1990-01-01,3181.9,,8.23,22.86
1990-02-01,3169.4,,8.24,22.11
1990-03-01,3188.9,,8.28,20.39
1990-04-01,3206.1,,8.26,18.43
1990-05-01,3195.1,,8.18,18.2
1990-06-01,3207.7,,8.29,16.7
1990-07-01,3217.3,,8.15,18.45
1990-08-01,3238.0,,8.13,27.31
1990-09-01,3245.5,,8.2,33.51
1990-10-01,3242.6,,8.11,36.04
1990-11-01,3262.5,,7.81,32.33
1990-12-01,3264.0,,7.31,27.28
1991-01-01,3309.9,,6.91,25.23
1991-02-01,3287.9,,6.25,20.48
1991-03-01,3313.9,,6.12,19.9
1991-04-01,3339.8,,5.91,20.83
1991-05-01,3333.3,,5.78,21.23
1991-06-01,3340.7,,5.9,20.19
1991-07-01,3346.1,,5.82,21.4
1991-08-01,3357.9,,5.66,21.69
1991-09-01,3343.9,,5.45,21.89
1991-10-01,3363.0,,5.21,23.23
1991-11-01,3361.2,,4.81,22.46
1991-12-01,3377.4,,4.43,19.5
1992-01-01,3398.6,,4.03,18.79
1992-02-01,3375.6,,4.06,19.01
1992-03-01,3390.7,,3.98,18.92
1992-04-01,3434.1,,3.73,20.23
1992-05-01,3392.8,,3.82,20.98
1992-06-01,3383.8,,3.76,22.39
1992-07-01,3407.1,,3.25,21.78
1992-08-01,3389.7,,3.3,21.34
1992-09-01,3416.3,,3.22,21.88
1992-10-01,3413.8,,3.1,21.69
1992-11-01,3421.8,,3.09,20.34
1992-12-01,3450.6,,2.92,19.41
1993-01-01,3455.2,,3.02,19.03
1993-02-01,3385.9,,3.03,20.09
1993-03-01,3396.7,,3.07,20.32
1993-04-01,3438.6,,2.96,20.25
1993-05-01,3412.1,,3.0,19.95
1993-06-01,3462.1,,3.04,19.09
1993-07-01,3450.7,,3.06,17.89
1993-08-01,3434.2,,3.03,18.01
1993-09-01,3458.3,,3.09,17.5
1993-10-01,3449.1,,2.99,18.15
1993-11-01,3448.6,,3.02,16.61
1993-12-01,3498.5,,2.96,14.52
1994-01-01,3502.8,,3.05,15.03
1994-02-01,3469.1,,3.25,14.78
1994-03-01,3485.2,,3.34,14.68
1994-04-01,3507.2,,3.56,16.42
1994-05-01,3469.4,,4.01,17.89
1994-06-01,3497.1,,4.25,19.06
1994-07-01,3489.0,,4.26,19.66
1994-08-01,3479.9,,4.47,18.38
1994-09-01,3489.8,,4.73,17.45
1994-10-01,3466.2,,4.76,17.72
1994-11-01,3493.7,,5.29,18.07
1994-12-01,3510.1,,5.45,17.16
1995-01-01,3508.3,,5.53,18.04
1995-02-01,3485.2,,5.92,18.57
1995-03-01,3492.8,,5.98,18.54
1995-04-01,3504.1,,6.05,19.9
1995-05-01,3490.5,,6.01,19.74
1995-06-01,3549.4,,6.0,18.45
1995-07-01,3553.5,,5.85,17.33
1995-08-01,3596.8,,5.74,18.02
1995-09-01,3597.3,,5.8,18.23
1995-10-01,3581.6,,5.76,17.43
1995-11-01,3623.9,,5.8,17.99
1995-12-01,3638.8,,5.6,19.03
1996-01-01,3661.5,,5.56,18.86
1996-02-01,3642.0,,5.22,19.09
1996-03-01,3683.3,,5.31,21.33
1996-04-01,3702.9,,5.22,23.5
1996-05-01,3698.7,,5.24,21.17
1996-06-01,3711.6,,5.27,20.42
1996-07-01,3715.4,,5.4,21.3
1996-08-01,3751.8,,5.22,21.9
1996-09-01,3734.3,,5.3,23.97
1996-10-01,3765.4,,5.24,24.88
1996-11-01,3780.9,,5.31,23.71
1996-12-01,3816.3,7.26,5.29,25.23
1997-01-01,3874.1,7.36,5.25,25.13
1997-02-01,3820.8,7.27,5.19,22.18
1997-03-01,3847.2,7.4,5.39,20.97
1997-04-01,3930.6,7.69,5.51,19.7
1997-05-01,3870.0,7.52,5.5,20.82
1997-06-01,3884.0,7.46,5.56,19.26
1997-07-01,3946.3,7.27,5.52,19.66
1997-08-01,3940.2,7.01,5.54,19.95
1997-09-01,3957.2,7.13,5.54,19.8
1997-10-01,3986.7,6.89,5.5,21.33
1997-11-01,3991.4,6.9,5.52,20.19
1997-12-01,4032.4,6.89,5.5,18.33
1998-01-01,4100.0,6.73,5.56,16.72
1998-02-01,4041.3,6.71,5.51,16.06
1998-03-01,4101.2,6.87,5.49,15.12
1998-04-01,4194.6,6.76,5.45,15.35
1998-05-01,4139.5,6.8,5.49,14.91
1998-06-01,4156.3,6.68,5.56,13.72
1998-07-01,4224.6,6.65,5.54,14.17
1998-08-01,4201.4,6.74,5.55,13.47
1998-09-01,4274.9,6.93,5.51,15.03
1998-10-01,4279.3,6.39,5.07,14.46
1998-11-01,4306.8,6.93,4.83,13.0
1998-12-01,4394.8,6.65,4.68,11.35
1999-01-01,4439.6,6.72,4.63,12.52
1999-02-01,4384.7,6.67,4.76,12.01
1999-03-01,4423.5,7.17,4.81,14.68
1999-04-01,4520.1,7.0,4.74,17.31
1999-05-01,4449.3,6.98,4.74,17.72
1999-06-01,4514.1,7.46,4.76,17.92
1999-07-01,4523.4,7.53,4.99,20.1
1999-08-01,4519.8,7.7,5.07,21.28
1999-09-01,4572.9,7.84,5.22,23.8
1999-10-01,4566.9,7.85,5.2,22.69
1999-11-01,4576.8,7.89,5.42,25.0
1999-12-01,4649.0,7.97,5.3,26.1
2000-01-01,4697.4,8.22,5.45,27.26
2000-02-01,4684.6,8.2,5.73,29.37
2000-03-01,4722.6,8.21,5.85,29.84
2000-04-01,4783.4,8.18,6.02,25.72
2000-05-01,4738.0,8.6,6.27,28.79
2000-06-01,4777.3,8.7,6.53,31.82
2000-07-01,4764.4,8.38,6.54,29.7
2000-08-01,4814.3,8.28,6.5,31.26
2000-09-01,4839.2,8.11,6.52,33.88
2000-10-01,4833.2,8.14,6.51,33.11
2000-11-01,4881.0,8.4,6.51,34.42
2000-12-01,4919.6,8.29,6.4,28.44
2001-01-01,4984.9,7.8,5.98,29.59
2001-02-01,4990.9,7.43,5.49,29.61
2001-03-01,5080.0,7.37,5.31,27.25
2001-04-01,5140.0,7.38,4.8,27.49
2001-05-01,5120.7,7.37,4.21,28.63
2001-06-01,5165.5,7.29,3.97,27.6
2001-07-01,5164.6,7.28,3.77,26.43
2001-08-01,5232.4,6.95,3.65,27.37
2001-09-01,5249.6,6.85,3.07,26.2
2001-10-01,5301.2,6.83,2.49,22.17
2001-11-01,5370.0,6.59,2.09,19.64
2001-12-01,5419.1,6.83,1.82,19.39
2002-01-01,5499.4,7.1,1.73,19.72
2002-02-01,5454.0,6.93,1.74,20.72
2002-03-01,5511.4,7.12,1.73,24.53
2002-04-01,5534.0,7.52,1.75,26.18
2002-05-01,5502.5,7.52,1.75,27.04
2002-06-01,5519.6,6.94,1.75,25.52
2002-07-01,5539.7,7.11,1.73,26.97
2002-08-01,5631.4,7.2,1.74,28.39
2002-09-01,5627.7,6.89,1.75,29.66
2002-10-01,5683.3,6.78,1.75,28.84
2002-11-01,5737.0,6.96,1.34,26.35
2002-12-01,5786.3,6.48,1.24,29.46
