,OLS,LSTM
2022-05-01,417.2165497668932,277.6237
2022-06-01,422.67185715213276,278.38962
2022-07-01,426.3353293531937,279.02722
2022-08-01,432.2048530838624,278.83923
2022-09-01,436.9341005439796,278.9167
2022-10-01,442.25678593044165,278.7172
2022-11-01,447.4107237052164,278.43317
2022-12-01,452.5202926972677,278.08676
2023-01-01,456.2790510932257,278.55316
2023-02-01,460.006107869084,279.12344
2023-03-01,462.9662243300056,280.16675
2023-04-01,466.7321115903756,280.75534
2023-05-01,470.87743804081833,280.85236
2023-06-01,474.74310959967744,281.0617
2023-07-01,478.5324232749657,281.2768
2023-08-01,483.8202657830251,280.6364
2023-09-01,488.5417302118509,280.25253
2023-10-01,493.66681927807053,279.5829
2023-11-01,498.7974035299113,278.81296
2023-12-01,503.8395806873856,277.99084
2024-01-01,507.57922899032656,278.03397
2024-02-01,511.2789490117478,278.2433
2024-03-01,514.2256278936854,279.04208
2024-04-01,517.9802263931601,279.38916
2024-05-01,522.1209816354824,279.44003
2024-06-01,525.9815655450333,279.59506
2024-07-01,529.7673696937667,279.76727
