,GDP,GS3M,BAMLC0A4CBBBEY,MCOILWTICO
1985-01-01,4230.168,8.02,,
1985-02-01,4251.741,8.56,,
1985-03-01,4273.313999999999,8.83,,
1985-04-01,4294.887,8.22,,
1985-05-01,4325.515666666666,7.73,,
1985-06-01,4356.144333333334,7.18,,
1985-07-01,4386.773,7.32,,
1985-08-01,4405.88,7.37,,
1985-09-01,4424.987,7.33,,
1985-10-01,4444.094,7.4,,
1985-11-01,4465.3606666666665,7.48,,
1985-12-01,4486.627333333334,7.33,,
1986-01-01,4507.894,7.3,,22.93
1986-02-01,4520.376,7.29,,15.46
1986-03-01,4532.858,6.76,,12.61
1986-04-01,4545.34,6.24,,12.84
1986-05-01,4566.116333333333,6.33,,15.38
1986-06-01,4586.892666666667,6.4,,13.43
1986-07-01,4607.669,6.0,,11.59
1986-08-01,4624.321666666667,5.69,,15.1
1986-09-01,4640.974333333334,5.35,,14.87
1986-10-01,4657.627,5.32,,14.9
1986-11-01,4679.136666666667,5.5,,15.22
1986-12-01,4700.646333333333,5.68,,16.11
1987-01-01,4722.156,5.58,,18.65
1987-02-01,4750.157333333334,5.75,,17.75
1987-03-01,4778.158666666666,5.77,,18.3
1987-04-01,4806.16,5.82,,18.68
1987-05-01,4832.291666666667,5.85,,19.44
1987-06-01,4858.423333333333,5.85,,20.07
1987-07-01,4884.555,5.88,,21.34
1987-08-01,4925.701333333333,6.23,,20.31
1987-09-01,4966.847666666667,6.62,,19.53
1987-10-01,5007.994,6.35,,19.86
1987-11-01,5029.786666666667,5.89,,18.85
1987-12-01,5051.579333333333,5.96,,17.28
1988-01-01,5073.372,6.0,,17.13
1988-02-01,5112.26,5.84,,16.8
1988-03-01,5151.148,5.87,,16.2
1988-04-01,5190.036,6.08,,17.86
1988-05-01,5220.969,6.45,,17.42
1988-06-01,5251.902,6.66,,16.53
1988-07-01,5282.835,6.95,,15.5
1988-08-01,5321.726333333333,7.3,,15.52
1988-09-01,5360.617666666667,7.48,,14.54
1988-10-01,5399.509,7.6,,13.77
1988-11-01,5436.757,8.03,,14.14
1988-12-01,5474.005,8.35,,16.38
1989-01-01,5511.253,8.56,,18.02
1989-02-01,5544.989666666666,8.84,,17.94
1989-03-01,5578.726333333333,9.14,,19.48
1989-04-01,5612.463,8.96,,21.07
1989-05-01,5640.097,8.74,,20.12
1989-06-01,5667.731,8.43,,20.05
1989-07-01,5695.365,8.15,,19.78
1989-08-01,5712.655666666667,8.17,,18.58
1989-09-01,5729.946333333333,8.01,,19.59
1989-10-01,5747.237,7.9,,20.1
1989-11-01,5789.058333333333,7.94,,19.86
1989-12-01,5830.879666666667,7.88,,21.1
1990-01-01,5872.701,7.9,,22.86
1990-02-01,5901.81,8.0,,22.11
1990-03-01,5930.919,8.17,,20.39
1990-04-01,5960.028,8.04,,18.43
1990-05-01,5978.390666666667,8.01,,18.2
1990-06-01,5996.753333333333,7.99,,16.7
1990-07-01,6015.116,7.87,,18.45
1990-08-01,6011.655,7.69,,27.31
1990-09-01,6008.194,7.6,,33.51
1990-10-01,6004.733,7.4,,36.04
1990-11-01,6014.881333333334,7.29,,32.33
1990-12-01,6025.029666666666,6.95,,27.28
1991-01-01,6035.178,6.41,,25.23
1991-02-01,6065.739333333333,6.12,,20.48
1991-03-01,6096.300666666667,6.09,,19.9
1991-04-01,6126.862,5.83,,20.83
1991-05-01,6153.220333333334,5.63,,21.23
1991-06-01,6179.578666666666,5.75,,20.19
1991-07-01,6205.937,5.75,,21.4
1991-08-01,6225.471333333333,5.5,,21.69
1991-09-01,6245.005666666667,5.37,,21.89
1991-10-01,6264.54,5.14,,23.23
1991-11-01,6297.394,4.69,,22.46
1991-12-01,6330.248,4.18,,19.5
1992-01-01,6363.102,3.91,,18.79
1992-02-01,6398.989,3.95,,19.01
1992-03-01,6434.876,4.14,,18.92
1992-04-01,6470.763,3.84,,20.23
1992-05-01,6502.722333333333,3.72,,20.98
1992-06-01,6534.681666666666,3.75,,22.39
1992-07-01,6566.641,3.28,,21.78
1992-08-01,6604.695,3.2,,21.34
1992-09-01,6642.749,2.97,,21.88
1992-10-01,6680.803,2.93,,21.69
1992-11-01,6697.0216666666665,3.21,,20.34
1992-12-01,6713.240333333333,3.29,,19.41
1993-01-01,6729.459,3.07,,19.03
1993-02-01,6755.952333333334,2.99,,20.09
1993-03-01,6782.4456666666665,3.01,,20.32
1993-04-01,6808.939,2.93,,20.25
1993-05-01,6833.325333333333,3.03,,19.95
1993-06-01,6857.711666666667,3.14,,19.09
1993-07-01,6882.098,3.11,,17.89
1993-08-01,6925.978,3.09,,18.01
1993-09-01,6969.858,3.01,,17.5
1993-10-01,7013.738,3.09,,18.15
1993-11-01,7047.709333333333,3.18,,16.61
1993-12-01,7081.680666666667,3.13,,14.52
1994-01-01,7115.652,3.04,,15.03
1994-02-01,7159.411666666667,3.33,,14.78
1994-03-01,7203.171333333333,3.59,,14.68
1994-04-01,7246.931,3.78,,16.42
1994-05-01,7274.978999999999,4.27,,17.89
1994-06-01,7303.027,4.25,,19.06
1994-07-01,7331.075,4.46,,19.66
1994-08-01,7372.479333333333,4.61,,18.38
1994-09-01,7413.883666666667,4.75,,17.45
1994-10-01,7455.288,5.1,,17.72
1994-11-01,7477.621666666666,5.45,,18.07
1994-12-01,7499.955333333333,5.76,,17.16
1995-01-01,7522.289,5.9,,18.04
1995-02-01,7541.858333333334,5.94,,18.57
1995-03-01,7561.427666666666,5.91,,18.54
1995-04-01,7580.997,5.84,,19.9
1995-05-01,7615.039666666667,5.85,,19.74
1995-06-01,7649.082333333334,5.64,,18.45
1995-07-01,7683.125,5.59,,17.33
1995-08-01,7712.945333333333,5.57,,18.02
1995-09-01,7742.765666666667,5.43,,18.23
1995-10-01,7772.586,5.44,,17.43
1995-11-01,7804.546666666667,5.52,,17.99
1995-12-01,7836.507333333333,5.29,,19.03
1996-01-01,7868.468,5.15,,18.86
1996-02-01,7923.258666666667,4.96,,19.09
1996-03-01,7978.049333333333,5.1,,21.33
1996-04-01,8032.84,5.09,,23.5
1996-05-01,8065.696,5.15,,21.17
1996-06-01,8098.552000000001,5.23,,20.42
1996-07-01,8131.408,5.3,,21.3
1996-08-01,8174.195666666667,5.19,,21.9
1996-09-01,8216.983333333334,5.24,,23.97
1996-10-01,8259.771,5.12,,24.88
1996-11-01,8294.065666666667,5.17,,23.71
1996-12-01,8328.360333333334,5.04,7.26,25.23
1997-01-01,8362.655,5.17,7.36,25.13
1997-02-01,8414.711666666668,5.14,7.27,22.18
1997-03-01,8466.768333333333,5.28,7.4,20.97
