,alpha,beta,p-value,adjusted_r-squared,pearson_r,spearman_r,kendal_tau
GDP,9.949485711307599,-0.000413867447845822,2.5386942305750235e-188,0.8534568290333753,-0.9240046894387978,-0.9551326768817321,-0.8050323998204987
GDPC1,14.003133265435398,-0.00066762726183593,1.7312467608149945e-209,0.8822172515975517,-0.939404464370374,-0.9500985132204613,-0.7946839382144779
CPIAUCSL,13.885087109375295,-0.04803468364593029,4.649655300712255e-215,0.8871542436809702,-0.9420217683410217,-0.9541399070043454,-0.8020108939797173
UNRATE,5.256787222703734,-0.07076592407564558,0.3219029199647657,-3.6962371744220235e-05,-0.046747641534966806,0.05905940896211566,0.04424479792633478
EMVOVERALLEMV,6.1033620620055204,-0.06350079649933849,7.745299259974922e-06,0.041482620336483755,-0.20883644068494886,-0.240153866062909,-0.16656153518916905
APU00007471A,8.888192109288171,-1.9887298609985042,5.6375889431481574e-86,0.5763035569717501,-0.759766480323345,-0.8136912505068061,-0.5864797382769341
PAYEMS,23.85036209364582,-0.0001490248256408583,3.743958854282756e-162,0.8058872318251542,-0.8979524450282483,-0.8787734287932344,-0.686047723036808
MCOILWTICO,7.117716673238669,-0.05337969610005753,8.920680928243444e-60,0.4549199166957396,-0.6753994312788372,-0.7344691224208125,-0.49557559034262205
DSPIC96,12.945907207702625,-0.0007854320846797043,8.792304448254709e-203,0.8726031209922772,-0.9342841407673572,-0.9580414851627869,-0.8125337335844284
PCE,9.70012486318606,-0.000588472658327459,1.5675401508017475e-185,0.8478944472744803,-0.9209957722081662,-0.9534209148883152,-0.8008573691756133
GS3M,2.1372246418221694,0.8506742105130869,8.028268280689441e-171,0.8223929708788343,0.9070764318213599,0.8996048910402534,0.7129113462899977
GS5,0.794978750179619,0.9264262874856608,0.0,0.977345605064536,0.9886333739887567,0.9866222938735554,0.9046518784218791
CSUSHPINSA,9.491399667776978,-0.035921819023565824,4.654485485970297e-113,0.7006248035745064,-0.8374550000752168,-0.8630774288962709,-0.6770494603438356
PPIACO,13.303792586245475,-0.054583762306654,8.368136042674275e-146,0.770471626671867,-0.8780556301987403,-0.9205628064719676,-0.7339110044878842
FEDFUNDS,2.1720289273917683,0.7935688946432223,1.5250410356058664e-164,0.8105853443111621,0.900558863022428,0.8972213117567611,0.7075914821997621
IQ12260,6.950031041963128,-0.00932816284324753,2.2734131479217792e-93,0.6714699449020367,-0.8199628479583239,-0.8153950051997595,-0.5911211074762414
WM2NS,8.01312167113467,-0.00041991498234791804,1.8672382605715442e-117,0.6922839162277228,-0.8324459222862391,-0.9544627162481915,-0.8052694938961662
WALCL,4.142087719235966,-3.875541148329949e-07,1.0534208536171244e-47,0.5907319005758545,-0.7697181870254994,-0.8031597885125242,-0.5909156073110792
MORTGAGE30US,-1.7441450945690795,0.9998643569694567,0.0,0.9720297307143859,0.9859471329893054,0.9877228751350094,0.9038783291840973
BAMLC0A4CBBBEY,-0.29791856408165485,0.7210501560013991,2.749993843002286e-78,0.6805993758272822,0.8256127366028397,0.8756360005031678,0.7061350771367658
T10YIE,0.30021794700230586,1.2392967293640373,9.249317472278096e-14,0.20824224146645887,0.4600124165907538,0.4686546952302231,0.3474980901096624
T10Y2Y,5.529669327435093,-0.6439094919131612,3.0700581984104042e-06,0.045164907145666344,-0.21744437938839659,-0.2271358779257085,-0.1230389786972878
BAMLH0A0HYM2,3.699460285227643,-0.04067588879882436,0.2262470520432132,0.00152428271607441,-0.0690368524265862,-0.10439477080896488,-0.0775986477755031
DTWEXBGS,7.653982871246919,-0.04887576926638881,6.012199836329123e-14,0.24447935135460397,-0.4982729548437293,-0.44080150364882087,-0.2978210171867361
VIXCLS,4.805792257394119,-0.029045876359999286,0.0272613808094818,0.009903726452519468,-0.1115165547615643,-0.0388965313627663,-0.031771724122116506
